Producto,Fecha,Precio $/KG,Unidad
Cacao Nacional,5/7/2018,6686,CO$/KG
Cacao Nacional,5/14/2018,6750,CO$/KG
Cacao Nacional,5/21/2018,6748.3,CO$/KG
Cacao Nacional,5/28/2018,6508.3,CO$/KG
Cacao Nacional,6/4/2018,6198.3,CO$/KG
Cacao Nacional,6/11/2018,5776.7,CO$/KG
Cacao Nacional,6/18/2018,5890,CO$/KG
Cacao Nacional,6/25/2018,6205,CO$/KG
Cacao Nacional,7/2/2018,6073.03,CO$/KG
Cacao Nacional,7/9/2018,6153.3,CO$/KG
Cacao Nacional,7/16/2018,6148.3,CO$/KG
Cacao Nacional,7/23/2018,5865,CO$/KG
Cacao Nacional,8/6/2018,5351.7,CO$/KG
Cacao Nacional,8/13/2018,5350,CO$/KG
Cacao Nacional,8/20/2018,5506.7,CO$/KG
Cacao Nacional,8/27/2018,5763.3,CO$/KG
Cacao Nacional,9/3/2018,5948.3,CO$/KG
Cacao Nacional,9/10/2018,6033.3,CO$/KG
Cacao Nacional,9/17/2018,6033.3,CO$/KG
Cacao Nacional,9/24/2018,5998.3,CO$/KG
Cacao Nacional,10/1/2018,5730,CO$/KG
Cacao Nacional,10/8/2018,5380,CO$/KG
Cacao Nacional,10/15/2018,5505,CO$/KG
Cacao Nacional,10/22/2018,5883.3,CO$/KG
Cacao Nacional,10/29/2018,5921.7,CO$/KG
Cacao Nacional,11/5/2018,6220,CO$/KG
Cacao Nacional,11/12/2018,6333.3,CO$/KG
Cacao Nacional,11/19/2018,6201,CO$/KG
Cacao Nacional,11/26/2018,6091.3,CO$/KG
Cacao Nacional,12/3/2018,6072.5,CO$/KG
Cacao Nacional,12/10/2018,6010.3,CO$/KG
Cacao Nacional,12/17/2018,5968.7,CO$/KG
Cacao Nacional,12/24/2018,6148.3,CO$/KG
Cacao Nacional,1/7/2019,6346.8,CO$/KG
Cacao Nacional,1/14/2019,6393.8,CO$/KG
Cacao Nacional,1/21/2019,6124.2,CO$/KG
Cacao Nacional,1/28/2019,6021.7,CO$/KG
Cacao Nacional,2/4/2019,5891.7,CO$/KG
Cacao Nacional,2/11/2019,5927.2,CO$/KG
Cacao Nacional,2/18/2019,6081.8,CO$/KG
Cacao Nacional,2/25/2019,6104.7,CO$/KG
Cacao Nacional,3/4/2019,6055,CO$/KG
Cacao Nacional,3/11/2019,5971.5,CO$/KG
Cacao Nacional,3/18/2019,5976.2,CO$/KG
Cacao Nacional,3/25/2019,5778.7,CO$/KG
Cacao Nacional,4/1/2019,5916,CO$/KG
Cacao Nacional,4/8/2019,6205.7,CO$/KG
Cacao Nacional,4/15/2019,6303.8,CO$/KG
Cacao Nacional,4/22/2019,6361.8,CO$/KG
Cacao Nacional,4/29/2019,6232,CO$/KG
Cacao Nacional,5/6/2019,6453.5,CO$/KG
Cacao Nacional,5/12/2019,5453.5,CO$/KG
Cacao Nacional,5/19/2019,6491.7,CO$/KG
Cacao Nacional,5/26/2019,6584,CO$/KG
Cacao Nacional,6/2/2019,6918.5,CO$/KG
Cacao Nacional,6/9/2019,6990,CO$/KG
Cacao Nacional,6/16/2019,6880.5,CO$/KG
Cacao Nacional,6/23/2019,7033.3,CO$/KG
Cacao Nacional,6/30/2019,7024.3,CO$/KG
Cacao Nacional,7/7/2019,6842.5,CO$/KG
Cacao Nacional,7/14/2019,6758.7,CO$/KG
Cacao Nacional,7/21/2019,6770.7,CO$/KG
Cacao Nacional,7/28/2019,6695.2,CO$/KG
Cacao Nacional,8/4/2019,6690,CO$/KG
Cacao Nacional,8/11/2019,6691.7,CO$/KG
Cacao Nacional,8/18/2019,6671.7,CO$/KG
Cacao Nacional,8/25/2019,6493.5,CO$/KG
Cacao Nacional,9/1/2019,6492.2,CO$/KG
Cacao Nacional,9/8/2019,6636.7,CO$/KG
Cacao Nacional,9/15/2019,6669.5,CO$/KG
Cacao Nacional,9/22/2019,6778.3,CO$/KG
Cacao Nacional,9/29/2019,7021.8,CO$/KG
Cacao Nacional,10/6/2019,7308.3,CO$/KG
Cacao Nacional,10/13/2019,7525,CO$/KG
Cacao Nacional,10/20/2019,7433.7,CO$/KG
Cacao Nacional,10/21/2019,7573.3,CO$/KG
Cacao Nacional,10/27/2019,7418.3,CO$/KG
Cacao Nacional,11/4/2019,7290,CO$/KG
Cacao Nacional,11/11/2019,7258.3,CO$/KG
Cacao Nacional,11/18/2019,7554.7,CO$/KG
Cacao Nacional,11/25/2019,7813.8,CO$/KG
Cacao Nacional,12/2/2019,7930.8,CO$/KG
Cacao Nacional,12/9/2019,7868.8,CO$/KG
Cacao Nacional,12/16/2019,7689.8,CO$/KG
Cacao Nacional,12/23/2019,7552,CO$/KG
Cacao Nacional,12/30/2019,7100.5,CO$/KG
Cacao Nacional,1/6/2020,7023.8,CO$/KG
Cacao Nacional,1/13/2020,7312.7,CO$/KG
Cacao Nacional,1/20/2020,7434,CO$/KG
Cacao Nacional,1/27/2020,7875.7,CO$/KG
Cacao Nacional,2/3/2020,7954.5,CO$/KG
Cacao Nacional,2/10/2020,8175.2,CO$/KG
Cacao Nacional,2/17/2020,8506,CO$/KG
